<TITLE>
The attendance rate for schools at every level by prefecture
<SUBTITLE> 
See PrefectureDataAll excel file
<EXCEL COLUMN RANGE>
See PrefectureDataAll excel file
<VECTOR LABELS>
hokkaido	
aomori	
iwate	
miyagi	
akita	
yamagata	
fukushima	
ibaraki	
tochigi	
gumma	
saitama	
chiba	
tokyo	
kanagawa	
niigata	
toyama	
ishikawa	
fukui	
yamanashi	
nagano	
gifu	
shizuoka	
aichi	
mie	
shiga	
kyoto	
osaka	
hyogo	
nara	
wakayama	
tottori	
shimane	
okayama	
hiroshima	
yamaguchi	
tokushima	
kagawa	
ehime	
kochi	
fukuoka	
saga	
nagasaki	
kumamoto	
oita	
miyazaki	
kagoshima	
okinawa	
<DATA>
102	3	5332	4565	3147	1418	62	31	30	21	20	9.2	237	1	5087	2961	2126	2302	1905	4	393	62	32	30	59	0.0	1.6	21	22	21	33	392	2745	1774	495	2	430958	3214	5175	5432	4479	135	818	116	59	57	110	1.4	3.4	19	82	836	6265	570	154	803	1423	92	1331	15	7.5	7.2	4.3	702	12666	59
51	2	2636	2316	1445	871	29	15	14	9.6	9.1	4.7	82	1	2183	1166	1017	1018	879	1	138	30	16	15	29	0.0	0.4	10	10	10	2	18	60	833	195	1	430958	1232	2419	2322	1970	25	327	55	28	27	54	0.2	0.9	9.0	2	16	105	340	86	425	601	37	564	6.6	3.3	3.3	1.8	296	5990	29
56	-	2836	2475	1698	777	32	16	16	11	10	5.5	91	4	2344	1250	1094	1118	967	2	149	33	17	16	32	0.0	0.3	11	11	11	5	43	161	1105	224	4	430958	1434	2756	2670	2243	76	351	62	32	31	60	0.8	0.8	10	9	54	277	346	68	437	688	48	640	7.8	4.0	3.9	1.9	354	7092	35
37	2	2062	1762	1230	532	23	12	12	7.9	7.5	4.0	81	4	1900	1116	784	913	820	-	93	23	12	12	22	-	0.3	7.8	8.2	8.1	15	88	273	709	204	2	430958	1105	2064	1976	1710	75	191	44	22	21	42	0.7	0.6	7.0	20	132	662	272	122	350	496	31	465	4.8	2.4	2.4	1.5	269	5030	25
44	-	2400	2002	1338	664	26	14	12	8.7	8.7	4.9	94	3	1944	1134	810	924	774	-	150	25	13	12	23	-	0.3	8.0	8.3	8.2	6	57	141	986	186	5	430958	1246	1940	2041	1708	39	294	44	23	21	42	0.3	0.7	7.0	13	102	437	380	74	342	587	40	547	6.4	3.2	3.2	1.9	233	3506	19
99	3	5099	4502	3380	1122	59	30	29	20	19	9.0	197	3	4900	3167	1733	2369	1948	2	419	62	32	30	58	0.0	2.0	21	21	21	20	207	770	2545	376	5	430958	3183	4269	5091	4297	16	778	116	59	56	111	0.1	3.4	19	35	313	1518	1144	119	625	1017	79	938	13	6.3	6.4	4.1	576	9020	50
81	-	4617	4077	2783	1294	57	29	28	19	18	10	194	1	4511	2741	1770	2097	1799	-	298	61	31	30	58	-	1.0	20	21	21	17	171	785	1999	374	1	430958	2656	4735	4674	4014	63	597	114	58	56	110	0.6	2.1	18	31	283	1736	907	188	1127	1921	110	1811	23	12	11	7.6	421	6787	40
137	3	8093	6955	5009	1946	101	52	49	34	32	17	294	1	7038	4403	2635	3491	3153	-	338	106	54	52	98	-	1.5	35	36	35	15	154	702	3519	511	5	430958	4665	6792	7526	6834	91	601	200	103	97	194	0.8	2.9	33	31	234	1321	1446	504	2745	4385	253	4132	59	30	29	19	515	11350	52
219	1	15988	12349	8477	3872	199	99	100	69	61	36	439	4	13705	7915	5790	6795	6011	2	782	219	113	107	205	0.0	3.0	72	74	73	13	162	741	7787	980	4	430958	8342	14828	15588	13765	45	1778	417	213	204	408	0.3	6.1	70	34	349	1599	3167	521	3886	5709	345	5364	97	49	48	31	1260	24340	137
71	1	4711	3748	2507	1241	51	26	25	17	16	8.1	172	4	4132	2297	1835	1870	1589	-	281	53	27	26	49	-	1.0	17	18	18	13	110	455	1703	395	10	430958	2599	4499	4508	3730	101	677	99	51	49	95	0.9	2.5	16	31	160	774	859	246	939	1629	69	1560	19	9.7	9.5	7.3	429	7875	38
58	1	3368	2872	1954	918	40	20	19	14	12	6.7	107	-	3101	1795	1306	1524	1287	-	237	43	22	21	40	-	0.9	14	15	14	3	17	23	1711	229	1	430958	2000	3316	3510	2911	17	582	83	43	40	80	0.1	2.2	14	9	58	142	919	193	910	1687	68	1619	19	9.6	9.4	7.7	264	6332	28
96	8	5938	5245	3611	1634	72	36	36	25	22	15	200	1	5369	3113	2256	2236	1929	4	303	72	36	36	62	0.0	1.0	24	25	24	11	86	344	2535	409	4	430958	3209	5404	5394	4697	36	661	132	68	65	125	0.3	2.0	22	29	213	792	1080	226	1323	2234	134	2100	28	14	14	8.9	483	10818	51
257	-	17866	14901	9985	4916	237	119	118	82	71	42	533	1	17025	9277	7748	7635	6231	2	1402	249	127	122	219	0.0	5.6	82	86	84	-	-	-	12477	1028	5	430958	9780	17435	17911	14404	27	3480	456	233	223	431	0.2	16	75	1	6	4	5606	766	4734	7596	332	7264	117	59	58	43	1267	28532	135
210	2	12860	10317	7182	3135	145	72	73	50	45	27	388	3	10890	6389	4501	4771	4091	-	680	159	81	78	144	-	2.0	52	55	54	15	219	1723	6669	787	3	430958	6795	11634	11793	10089	79	1625	300	154	146	290	0.7	5.0	49	47	501	3176	2722	696	3083	4915	248	4667	70	35	35	29	902	16812	83
51	2	2819	2633	1829	804	38	19	19	13	12	6.8	118	-	2988	1793	1195	1350	1080	-	270	40	21	19	34	-	0.8	13	14	14	13	140	376	1680	217	-	430958	1977	2925	3262	2582	15	665	73	37	36	67	0.1	2.0	12	17	132	521	761	201	832	1484	56	1428	17	8.5	8.2	6.2	197	4541	21
44	6	2697	2269	1485	784	29	14	14	9.5	8.9	4.4	135	2	2448	1394	1054	1060	906	3	151	29	14	14	25	0.0	0.4	9.3	10.0	9.9	17	119	389	1074	259	12	430958	1446	2348	2364	1896	135	333	49	25	24	46	1.0	1.0	8.0	43	223	819	478	106	440	695	42	653	8.0	4.0	4.0	2.3	210	3680	20
32	-	1586	1386	968	418	16	7.8	7.7	5.2	4.9	2.1	63	2	1510	900	610	668	538	1	129	16	8.4	8.0	15	0.0	0.4	5.4	5.4	5.4	-	-	-	620	132	3	430958	1023	1499	1579	1285	15	279	31	16	15	29	0.2	0.8	5.0	6	25	51	238	35	221	420	31	389	3.9	1.9	1.9	1.0	189	3642	16
